76,,,えさおまんとったべつだけ,エサオマントッタベツ岳,,,1902,424121,1424528,""
77,,,さつないだけ,札内岳,,,1895,424138,1424748,"Ｈ26三角点標高改定"
78,,,とかちぽろしりだけ,十勝幌尻岳,,,1846,424144,1425134,"十勝ポロシリ岳"
79,,,いどんなっぷだけ,イドンナップ岳,,,1752,423749,1423855,""
80,,,かむいえくうちかうしやま,カムイエクウチカウシ山,,,1979,423730,1424559,"Ｈ26三角点標高改定"
81,,,いっぱさんきゅうほう,１８３９峰,,,1842,423222,1424829,""
82,,,ぺてがりだけ,ペテガリ岳,,,1736,422958,1425216,""
83,,,なかのだけ,中ノ岳,,,1519,422805,1425304,""
84,,,かむいだけ,神威岳,,,1600,422542,1425425,""
85,,,ぴりかぬぷり,ピリカヌプリ,,,1631,422408,1425800,""
86,,,らっこだけ,楽古岳,,,1471,421621,1430640,"Ｈ20三角点標高改定"
87,,,とよにだけ,豊似岳,,,1105,420437,1431359,""
88,,,あぽいだけ,アポイ岳,,,810,420628,1430132,"Ｈ20三角点標高改定"
89,,,もいわやま,藻岩山,,,531,430121,1411920,""
90,,,ていねやま,手稲山,,,1023,430436,1411133,"Ｈ20三角点標高改定"
91,,,よいちだけ,余市岳,,,1488,430158,1410111,""
92,,,ぽんくとさん,本倶登山,,,1009,425719,1405445,""
93,,,むいねやま,無意根山,,,1464,425551,1410226,""
94,,,さっぽろだけ,札幌岳,,,1293,425401,1411202,""
95,,,そらぬまだけ,空沼岳,,,1251,425154,1411513,""
96,,,えにわだけ,恵庭岳,,,1320,424736,1411707,""
97,,,ふっぷしだけ,風不死岳,,,1102,424301,1412132,"Ｈ20三角点標高改定"
98,,,たるまえさん,樽前山,,,1041,424126,1412236,""
99,,,ほろほろやま,ホロホロ山,,,1322,423801,1410833,""
100,,,よべつだけ,余別岳,,,1298,431536,1402733,""
101,,,てんぐだけ,天狗岳,,,872,431105,1403939,""
102,,,らいでんやま,雷電山,,,1211,425413,1402811,"Ｈ20三角点標高改定"
103,,,めくんないだけ,目国内岳,,,1220,425359,1403055,""
104,,,にせこあんぬぷり,ニセコアンヌプリ,,,1308,425230,1403932,""
105,,,ようていざん,羊蹄山,えぞふじ,蝦夷富士,1898,424936,1404841,"後方羊蹄山（しりべしやま）　マッカリヌプリ"
106,,,しりべつだけ,尻別岳,,,1107,424621,1405437,""
107,,,ぬっきべつやま,貫気別山,,,994,424236,1405522,"Ｈ20三角点標高改定"
108,,,こんぶだけ,昆布岳,,,1045,424237,1403920,""
109,,,しょうわしんざん,昭和新山,,,398,423233,1405152,""
110,うすざん,有珠山,おおうす,大有珠,,,733,423238,1405021,""
111,,,ほろづきやま,母衣月山,,,504,424612,1401254,"Ｈ20三角点標高改定"
112,,,おおびらやま,大平山,,,1191,423809,1400808,""
113,,,かりばやま,狩場山,,,1520,423648,1395626,""
114,,,けなしやま,毛無山,,,816,421743,1394838,""
115,,,ゆうらっぷだけ,遊楽部岳,けんいちだけ,見市岳,1277,421309,1400038,""
116,,,おとべだけ,乙部岳,,,1017,420222,1401629,""
117,こまがたけ,駒ヶ岳,けんがみね,剣ヶ峯,,,1131,420348,1404038,""
118,,,よこつだけ,横津岳,,,1167,415616,1404617,""
119,,,えさん,恵山,,,618,414817,1410958,""
120,,,はこだてやま,函館山,,,334,414532,1404215,""
121,,,はちまんだけ,八幡岳,,,665,415107,1401348,"Ｈ20三角点標高改定"
122,,,かつらだけ,桂岳,,,734,414721,1402752,""
123,,,ななつだけ,七ッ岳,,,957,413727,1401251,""
124,,,だいせんげんだけ,大千軒岳,,,1072,413446,1400939,""
125,,,いわべだけ,岩部岳,,,794,413138,1401839,""
126,,,かむいやま,神威山,,,584,420937,1392634,""
127,,,えらだけ,江良岳,,,732,413036,1392202,""
128,,,ひうちだけ,燧岳,,,781,412621,1410311,""
129,,,かまふせやま,釜臥山,,,878,411643,1410712,"Ｈ22三角点標高改定"
130,,,くわはたやま,桑畑山,,,400,412315,1412627,""
131,,,ふっこしえぼし,吹越烏帽子,,,508,410215,1411902,""
132,,,まるやがただけ,丸屋形岳,,,718,410910,1403512,""
133,,,よつだきやま,四ッ滝山,,,670,410718,1402402,""
134,,,ぼんじゅさん,梵珠山,,,468,404759,1403432,""
135,,,はしかみだけ,階上岳,たねいちだけ,種市岳,739,402403,1413504,"Ｈ22三角点標高改定"
136,,,なくいだけ,名久井岳,,,615,402317,1411830,""
137,,,おりつめだけ,折爪岳,,,852,401608,1412228,""
138,,,あっかもり,安家森,,,1239,400217,1413228,""
139,,,とおしまやま,遠島山,,,1262,400114,1413839,"Ｈ22三角点標高改定"
140,,,みすごだけ,三巣子岳,,,1181,395400,1412908,"Ｈ26三角点標高改定"
141,,,ひめかみさん,姫神山,,,1124,395039,1411449,""
142,,,さかいのかみだけ,堺ノ神岳,,,1319,394501,1413735,""
143,,,がいたかもり,害鷹森,,,1304,394242,1413616,""
144,,,あおまつばやま,青松葉山,,,1365,394151,1412901,"Ｈ23三角点標高改定"
145,,,とうげのかみやま,峠ノ神山,,,1229,394337,1414652,"Ｈ22三角点標高改定"
146,,,はやちねさん,早池峰山,,,1917,393331,1412919,""
147,,,やくしだけ,薬師岳,,,1645,393148,1412945,""
148,,,じゅうにしんざん,十二神山,,,731,393219,1415830,""
149,,,ろっこうしさん,六角牛山,,,1293,391906,1413901,"Ｈ23三角点標高改定"
150,,,ごようざん,五葉山,,,1351,391219,1414356,""
151,,,ものみやま,物見山,,,870,391204,1412406,"Ｈ22三角点標高改定"
152,,,ひかみさん,氷上山,,,874,390332,1413938,"Ｈ22三角点標高改定"
153,,,むろねさん,室根山,,,895,385831,1412650,""
154,,,とくせんじょうやま,徳仙丈山,,,710,385054,1412812,"Ｈ23三角点標高改定"
155,,,きんかさん,金華山,,,444,381743,1413400,"Ｈ23三角点標高改定"
156,はっこうださん,八甲田山,おおだけ,大岳,,,1585,403932,1405238,"Ｈ22三角点標高改定"
157,はっこうださん,八甲田山,たかだおおだけ,高田大岳,,,1559,403911,1405426,"R2写真測量による標高改定"
158,,,くしがみね,櫛ヶ峯,かみだけ,上岳,1517,403611,1405033,"Ｈ22三角点標高改定"
159,へらいだけ,戸来岳,みつだけ,三ッ岳,,,1159,402711,1410005,"Ｈ26三角点標高改定"
160,,,しろじやま,白地山,,,1034,402650,1404717,""
161,,,なかだけ,中岳,,,1024,401446,1405640,"ちゅうだけ"
162,,,いなにわだけ,稲庭岳,,,1078,401155,1410246,""
163,,,ごのみやだけ,五ノ宮嶽,,,1115,400845,1405045,""
164,,,ななしぐれやま,七時雨山,,,1063,400409,1410620,""
165,,,もりよしざん,森吉山,,,1454,395836,1403239,""
166,,,やけやま,焼山,,,1366,395750,1404525,""
167,,,はちまんたい,八幡平,,,1613,395728,1405115,"Ｈ23三角点標高改定"
168,はちまんたい,八幡平,ちゃうすだけ,茶臼岳,,,1578,395703,1405356,""
169,はちまんたい,八幡平,もっこだけ,畚岳,,,1578,395609,1405102,""
170,,,おおふかだけ,大深岳,,,1541,395252,1405247,"Ｈ23三角点標高改定"
171,,,いわてさん,岩手山,,,2038,395109,1410004,""
172,,,えぼしだけ,烏帽子岳,にゅうとうざん,乳頭山,1478,394818,1405019,""
173,こまがたけ,駒ヶ岳,おなめだけ,男女岳,,,1637,394540,1404758,""
174,,,いわきさん,岩木山,,,1625,403921,1401811,""
175,,,むかいしらかみだけ,向白神岳,,,1250,403126,1400244,""
176,,,しらかみだけ,白神岳,,,1235,403027,1400106,""
177,,,ふたつもり,二ッ森,,,1086,402606,1400704,"Ｈ26三角点標高改定"
178,,,こまがたけ,駒ヶ岳,,,1158,402446,1401504,"藤里駒ヶ岳（ふじさとこまがたけ）"
179,,,たしろだけ,田代岳,,,1178,402543,1402432,""
180,,,ぼうじゅうさん,房住山,,,409,400338,1401258,""
181,,,たいへいざん,太平山,,,1170,394749,1401838,"Ｈ26三角点標高改定"
182,,,だいぶつだけ,大仏岳,,,1167,394849,1403056,""
183,,,とうこうさん,東光山,,,594,392423,1400942,""
184,,,やしおやま,八塩山,,,713,391412,1401340,""
185,ちょうかいさん,鳥海山,しんざん,新山,,,2236,390557,1400256,"山名（よみ）訂正"
186,,,ひのとだけ,丁岳,,,1146,390155,1401310,""
187,こしきやま,甑山,おとここしきやま,男甑山,,,981,390043,1401838,""
188,かぶやま,加無山,おかぶやま,男加無山,,,997,390034,1401537,""
189,,,かんぷうざん,寒風山,,,355,395601,1395231,""
190,,,ほんざん,本山,,,715,395425,1394514,""
191,,,あずまねやま,東根山,,,928,393515,1410335,""
192,,,わがだけ,和賀岳,,,1439,393413,1404515,"Ｈ26三角点標高改定"
193,,,まひるだけ,真昼岳,,,1059,392652,1404036,"Ｈ26三角点標高改定"
194,,,くろもり,黒森,,,944,392054,1405206,"Ｈ22三角点標高改定"
195,,,やけいしだけ,焼石岳,,,1547,390949,1404944,"Ｈ23三角点標高改定"
196,,,くりこまやま,栗駒山,,,1626,385739,1404718,"須川岳（すかわだけ）　Ｈ26三角点標高改定"
197,,,たかまつだけ,高松岳,,,1348,385803,1403623,""
198,,,とらげさん,虎毛山,,,1433,385417,1403708,""
199,,,あらおだけ,荒雄岳,,,984,384959,1404130,""
200,,,かむろさん,神室山,,,1365,385408,1402932,""
201,,,ひうちだけ,火打岳,,,1238,385025,1402655,""
202,,,もくぞうやま,杢蔵山,,,1026,384722,1402405,"Ｈ21三角点標高改定"
203,,,かむろだけ,禿岳,こかぶらやま,小鏑山,1261,384839,1403542,"Ｈ23三角点標高改定"
204,,,ののだけやま,箟岳山,,,236,383357,1411043,""
205,,,おおたかもり,大高森,,,105,382026,1410909,"Ｈ15三角点改測"
206,,,おきなさん,翁山,,,1075,383903,1403241,"山名変更：Ｈ25関係自治体からの申請による"
207,,,やくらいさん,薬萊山,,,553,383432,1404219,""
208,,,ふながたやま,船形山,ごしょざん,御所山,1500,382720,1403712,""
209,,,いずみがたけ,泉ヶ岳,,,1175,382443,1404232,""
210,,,たいはくさん,太白山,,,321,381406,1404808,""
211,,,だいとうだけ,大東岳,,,1365,381808,1403125,"おおあずまだけ　Ｈ26三角点標高改定"
212,ざおうざん（ざおうさん）,蔵王山,くまのだけ,熊野岳,,,1841,380837,1402624,"山名変更：Ｈ30関係自治体からの申請による"
213,ざおうざん（ざおうさん）,蔵王山,かっただけ,刈田岳,,,1758,380740,1402653,"山名変更：Ｈ30関係自治体からの申請による"
214,ざおうざん（ざおうさん）,蔵王山,びょうぶだけ,屛風岳,,,1825,380545,1402834,"山名変更：Ｈ30関係自治体からの申請による"
215,ざおうざん（ざおうさん）,蔵王山,ふぼうさん,不忘山,ごぜんだけ,御前岳,1705,380432,1402844,"山名変更：Ｈ30関係自治体からの申請による"
216,,,あおそやま,青麻山,,,799,380505,1403627,""
217,,,くりこやま,栗子山,,,1217,375228,1401612,""
218,,,しのぶやま,信夫山,,,275,374615,1402742,""
219,,,にしあづまやま,西吾妻山,,,2035,374418,1400827,""
220,にしあづまやま,西吾妻山,にしだいてん,西大巓,,,1982,374402,1400740,""
221,にしあづまやま,西吾妻山,ひがしだいてん,東大巓,,,1928,374516,1401120,""
222,,,ひがしあづまやま,東吾妻山,,,1975,374242,1401349,""
223,ひがしあづまやま,東吾妻山,いっさいきょうざん,一切経山,,,1949,374407,1401440,""
